InventoryID,Description,Live Description,Current ItemClass,Live ItemClass,Proposed ItemClass,Warehouses,QtyOnHand Status,Current Vendor,Proposed VendorID,Proposed VendorName,Vendor Confidence,Vendor Match Reason,Spreadsheet VendorID,API Status,AuditStatus
K-35926-BN,"Castia By Studio Mcgee 24"" Towel Bar - Vibrant Brushed Nickel","Castia By Studio Mcgee 24"" Towel Bar - Vibrant Brushed Nickel",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K-35927-BN,Castia By Studio Mcgee Double Robe Hook - Vibrant Brushed Nickel,Castia By Studio Mcgee Double Robe Hook - Vibrant Brushed Nickel,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K-35929-BN,Castia By Studio Mcgee Toilet Paper Holder - Vibrant Brushed Nickel,Castia By Studio Mcgee Toilet Paper Holder - Vibrant Brushed Nickel,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K-37626-0,"Verticyl 16 1/2"" Rectangular Undermount Bathroom Sink - White","Verticyl 16 1/2"" Rectangular Undermount Bathroom Sink - White",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE APPLIANCES=0; SALT LAKE PLUMBING=0; JACKSON WAREHOUSE=0,ELIGIBLE,BA0000749 Standard Plumbing Supply,BA0000749,Standard Plumbing Supply,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000749.,,FOUND,READY
K-37907-PAP-NA,"Synthos 45 3/4"" Undermount Single Bowl Workstation Kitchen Sink","Synthos 45 3/4"" Undermount Single Bowl Workstation Kitchen Sink",PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K-37911-NA,"Synthos 27 3/4"" Undermount Single Bowl Kitchen Sink","Synthos 27 3/4"" Undermount Single Bowl Kitchen Sink",PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K4014W,"Icobath Kontour 24"" X 27"" Linear Electric Hardwired Towel Warmer - Brushed Nickel","Icobath Kontour 24"" X 27"" Linear Electric Hardwired Towel Warmer - Brushed Nickel",PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,BA0021299 Ico Bath,BA0021299,Ico Bath,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0021299.,,FOUND,READY
K-44199-0,Highline Elongated Toilet Bowl - White,Highline Elongated Toilet Bowl - White,PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K-44468-0,"Wellworth Toilet Tank, 1.6 Gpf - White","Wellworth Toilet Tank, 1.6 Gpf - White",PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K50-100-FB-ANF,"Poetto Pull Down Kitchen Faucet with Button Sprayer, High Arc Spout - Antique Nickel Flat","Poetto Pull Down Kitchen Faucet with Button Sprayer, High Arc Spout - Antique Nickel Flat",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K50-103-BST-BBU,"Poetto Pull Down Kitchen Faucet with Button Sprayer, Quad Spout - Burnished Brass","Poetto Pull Down Kitchen Faucet with Button Sprayer, Quad Spout - Burnished Brass",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE APPLIANCES=0; SALT LAKE PLUMBING=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K50-103-FB-ANF,"Poetto Pull Down Kitchen Faucet with Button Sprayer, Quad Spout - Antique Nickel Flat","Poetto Pull Down Kitchen Faucet with Button Sprayer, Quad Spout - Antique Nickel Flat",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K51-100SQ-ST-SBZ,"Corsano Pull Down Kitchen Faucet with Squeeze Sprayer, High Arc Spout - Satin Bronze","Corsano Pull Down Kitchen Faucet with Squeeze Sprayer, High Arc Spout - Satin Bronze",PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K51-101SQ-FB-GRP,California Faucets Corsano Pull Down Prep / Bar Faucet with Squeeze Sprayer - Graphite,California Faucets Corsano Pull Down Prep / Bar Faucet with Squeeze Sprayer - Graphite,PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,BA0000006 California Faucets,BA0000006,California Faucets,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000006.,,FOUND,READY
K51-101SQ-ST-ANF,Corsano Pull Down Prep / Bar Faucet with Squeeze Sprayer - Antique Nickel Flat,Corsano Pull Down Prep / Bar Faucet with Squeeze Sprayer - Antique Nickel Flat,PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K51-102SQ-ST-SN,"California Faucet Corsano Pull Down Kitchen Faucet with Squeeze Sprayer, Low Arc Spout - Satin Nickel","California Faucet Corsano Pull Down Kitchen Faucet with Squeeze Sprayer, Low Arc Spout - Satin Nickel",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE APPLIANCES=0; SALT LAKE PLUMBING=0,ELIGIBLE,BA0000006 California Faucets,BA0000006,California Faucets,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000006.,,FOUND,READY
K51-103-ST-BNU,"Corsano Pull Down Kitchen Faucet with Button Sprayer, Quad Spout - Burnished Nickel","Corsano Pull Down Kitchen Faucet with Button Sprayer, Quad Spout - Burnished Nickel",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K51-103-ST-GRP,"Corsano Pull Down Kitchen Faucet with Button Sprayer, Quad Spout - Graphite","Corsano Pull Down Kitchen Faucet with Button Sprayer, Quad Spout - Graphite",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K-5172-42,"San Souci One Piece Compact Elongated Toilet With Concealed Trapway, 1.28 Gpf - Aspen Green","San Souci One Piece Compact Elongated Toilet With Concealed Trapway, 1.28 Gpf - Aspen Green",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,BA0000749 Standard Plumbing Supply,BA0000749,Standard Plumbing Supply,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000749.,,FOUND,READY
K-5172-V10,"San Souci One Piece Compact Elongated Toilet With Concealed Trapway, 1.28 Gpf - 150th Peachblow","San Souci One Piece Compact Elongated Toilet With Concealed Trapway, 1.28 Gpf - 150th Peachblow",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,BA0000749 Standard Plumbing Supply,BA0000749,Standard Plumbing Supply,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000749.,,FOUND,READY
K-534-NA,Underscore Undermount Installation Kit For K 1848/K 1849,Underscore Undermount Installation Kit For K 1848/K 1849,PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K55-100SQ-TG-SBZ,"California Faucets La Spezia Pull Down Kitchen Faucet with Squeeze Sprayer, High Arc Spout - Satin Bronze","California Faucets La Spezia Pull Down Kitchen Faucet with Squeeze Sprayer, High Arc Spout - Satin Bronze",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE APPLIANCES=0; SALT LAKE PLUMBING=0,ELIGIBLE,BA0000006 California Faucets,BA0000006,California Faucets,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000006.,,FOUND,READY
K55-100SQ-TG-USS,"La Spezia Pull Down Kitchen Faucet with Squeeze Sprayer, High Arc Spout - Ultra Stainless Steel","La Spezia Pull Down Kitchen Faucet with Squeeze Sprayer, High Arc Spout - Ultra Stainless Steel",PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K55-101-TG-GRP,La Spezia Pull Down Prep / Bar Faucet with Button Sprayer - Graphite,La Spezia Pull Down Prep / Bar Faucet with Button Sprayer - Graphite,PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K55-102-TG-BTB,"California Faucets La Spezia Pull Down Kitchen Faucet with Button Sprayer, Low Arc Spout - Bella Terra Bronze","California Faucets La Spezia Pull Down Kitchen Faucet with Button Sprayer, Low Arc Spout - Bella Terra Bronze",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=1,SKIP_QTY_ON_HAND,BA0000006 California Faucets,BA0000006,California Faucets,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000006.,,FOUND,SKIP_QTY_ON_HAND
K55-200-TG-BTB,"California Faucets La Spezia Pot Filler, Dual Handle Wall Mount, Contemporary - Bella Terra Bronze","California Faucets La Spezia Pot Filler, Dual Handle Wall Mount, Contemporary - Bella Terra Bronze",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,BA0000006 California Faucets,BA0000006,California Faucets,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000006.,,FOUND,READY
K6002/008,"Phylrich Wall Bracket For Hand Shower With 1/2"" Outlet - Architectural Bronze","Phylrich Wall Bracket For Hand Shower With 1/2"" Outlet - Architectural Bronze",PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,BA0016237 Phylrich,BA0016237,Phylrich,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0016237.,,FOUND,READY
K6007/040,Holder And Connector For K6530 Shower - Matte Black,Holder And Connector For K6530 Shower - Matte Black,PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,,BA0016237,Phylrich,HIGH,prefix K600 maps to BA0016237 in 11/11 existing vendor-populated StockItems.,,FOUND,READY
K6007/047,Holder And Connector For K6530 Shower - Antique Brass,Holder And Connector For K6530 Shower - Antique Brass,PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,,BA0016237,Phylrich,HIGH,prefix K600 maps to BA0016237 in 11/11 existing vendor-populated StockItems.,,FOUND,READY
K6104/008,Phylrich Hand Shower With Hose - Architectural Bronze,Phylrich Hand Shower With Hose - Architectural Bronze,PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,BA0016237 Phylrich,BA0016237,Phylrich,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0016237.,,FOUND,READY
K6530/040,"Basic Hand Shower Including 59"" Hose - Matte Black","Basic Hand Shower Including 59"" Hose - Matte Black",PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,,BA0016237,Phylrich,HIGH,prefix K6530 maps to BA0016237 in 7/7 existing vendor-populated StockItems.,,FOUND,READY
K6530/047,"Basic Hand Shower Including 59"" Hose - Antique Brass","Basic Hand Shower Including 59"" Hose - Antique Brass",PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,,BA0016237,Phylrich,HIGH,prefix K6530 maps to BA0016237 in 7/7 existing vendor-populated StockItems.,,FOUND,READY
K-705767-BN,Purist Shower Door Handle - Vibrant Brushed Nickel,Purist Shower Door Handle - Vibrant Brushed Nickel,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K-7159-BV,"Artifacts 1 1/2"" Pop Up Bath Drain For Above And Through The Floor Freestanding Bath Installations - Vibrant Brushed Bronze","Artifacts 1 1/2"" Pop Up Bath Drain For Above And Through The Floor Freestanding Bath Installations - Vibrant Brushed Bronze",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K-7213-2MB,Clearflo Cable Bath Drain With Pvc Tubing - Vibrant Brushed Moderne Brass,Clearflo Cable Bath Drain With Pvc Tubing - Vibrant Brushed Moderne Brass,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K-72414-Y-2MB,"Awaken G90 Four Function Handshower, 2.5 Gpm - Vibrant Brushed Moderne Brass","Awaken G90 Four Function Handshower, 2.5 Gpm - Vibrant Brushed Moderne Brass",PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K-72797-SN,Artifacts Handshower Holder - Vibrant Polished Nickel,Artifacts Handshower Holder - Vibrant Polished Nickel,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=1,SKIP_QTY_ON_HAND,BA0000749 Standard Plumbing Supply,BA0000749,Standard Plumbing Supply,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000749.,,FOUND,SKIP_QTY_ON_HAND
K-7394-2MB,"6"" Ceiling Mount Single Function Rainhead Arm And Flange - Vibrant Brushed Moderne Brass","6"" Ceiling Mount Single Function Rainhead Arm And Flange - Vibrant Brushed Moderne Brass",PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K-7548-4-VS,Purist Two Hole Bridge Kitchen Sink Faucet With Side Sprayer - Vibrant Stainless,Purist Two Hole Bridge Kitchen Sink Faucet With Side Sprayer - Vibrant Stainless,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K-7605-P-BN,"Pair 3/8"" Npt Angle Supplies With Stop, Cross Handle And Annealed Vertical Tube - Vibrant Brushed Nickel","Pair 3/8"" Npt Angle Supplies With Stop, Cross Handle And Annealed Vertical Tube - Vibrant Brushed Nickel",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE HARDWARE=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K-77967-2MB,"Components Bathroom Sink Faucet Spout With Tube Design, 1.2 Gpm - Vibrant Brushed Moderne Brass","Components Bathroom Sink Faucet Spout With Tube Design, 1.2 Gpm - Vibrant Brushed Moderne Brass",PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K-77974-8-2MB,Components Oyl Bathroom Sink Faucet Handles - Vibrant Brushed Moderne Brass,Components Oyl Bathroom Sink Faucet Handles - Vibrant Brushed Moderne Brass,PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K-78377-2MB,Components Towel Arm - Vibrant Brushed Moderne Brass,Components Towel Arm - Vibrant Brushed Moderne Brass,PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K-78378-2MB,Components Robe Hook - Vibrant Brushed Moderne Brass,Components Robe Hook - Vibrant Brushed Moderne Brass,PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K-78382-2MB,Components Pivoting Toilet Paper Holder - Vibrant Brushed Moderne Brass,Components Pivoting Toilet Paper Holder - Vibrant Brushed Moderne Brass,PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K81-120S-BL-SBZ,"California Faucets Descanso Works Bridge Kitchen Faucet with Sidespray, Arc Spout - Satin Bronze","California Faucets Descanso Works Bridge Kitchen Faucet with Sidespray, Arc Spout - Satin Bronze",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,BA0000006 California Faucets,BA0000006,California Faucets,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000006.,,FOUND,READY
K-8189-58,"Verticyl 17"" Rectangular Undermount Bathroom Sink - Thunder Grey","Verticyl 17"" Rectangular Undermount Bathroom Sink - Thunder Grey",PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K-8189-NY,"Verticyl 17"" Rectangular Undermount Bathroom Sink - Dune","Verticyl 17"" Rectangular Undermount Bathroom Sink - Dune",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K831/008,"Phylrich 8"" Round Shower Head - Architectural Bronze","Phylrich 8"" Round Shower Head - Architectural Bronze",PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,BA0016237 Phylrich,BA0016237,Phylrich,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0016237.,,FOUND,READY
K831/040,"8"" Round Shower Head - Matte Black","8"" Round Shower Head - Matte Black",PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,,BA0016237,Phylrich,HIGH,prefix K831 maps to BA0016237 in 6/6 existing vendor-populated StockItems.,,FOUND,READY
K831/047,"8"" Round Shower Head - Antique Brass","8"" Round Shower Head - Antique Brass",PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,,BA0016237,Phylrich,HIGH,prefix K831 maps to BA0016237 in 6/6 existing vendor-populated StockItems.,,FOUND,READY
K837/008,"Phylrich 4 1/2"" Contemporary Shower Head, 3 Functions - Architectural Bronze","Phylrich 4 1/2"" Contemporary Shower Head, 3 Functions - Architectural Bronze",PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,BA0016237 Phylrich,BA0016237,Phylrich,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0016237.,,FOUND,READY
K839/008,"5"" Contemporary Shower Head, 4 Functions - Architectural Bronze","5"" Contemporary Shower Head, 4 Functions - Architectural Bronze",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,,BA0016237,Phylrich,HIGH,prefix K839 maps to BA0016237 in 3/3 existing vendor-populated StockItems.,,FOUND,READY
K839/014,"Phylrich 5"" Contemporary Shower Head, 4 Functions - Polished Nickel","Phylrich 5"" Contemporary Shower Head, 4 Functions - Polished Nickel",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,BA0016237 Phylrich,BA0016237,Phylrich,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0016237.,,FOUND,READY
K839/047,"Phylrich 5"" Contemporary Shower Head, 4 Functions - Antique Brass","Phylrich 5"" Contemporary Shower Head, 4 Functions - Antique Brass",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,BA0016237 Phylrich,BA0016237,Phylrich,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0016237.,,FOUND,READY
K839/15A,"Phylrich 5"" Contemporary Shower Head - Pewter","Phylrich 5"" Contemporary Shower Head - Pewter",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,BA0016237 Phylrich,BA0016237,Phylrich,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0016237.,,FOUND,READY
K-875-0,"Bellwether 60"" X 32"" Alcove Bath, Left Drain - White","Bellwether 60"" X 32"" Alcove Bath, Left Drain - White",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE APPLIANCES=0; SALT LAKE PLUMBING=0,ELIGIBLE,BA0003290 Hajoca Corporation,BA0003290,Hajoca Corporation,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0003290.,,FOUND,READY
K-9379-2MB,Wellworth Highline Trip Lever - Vibrant Brushed Moderne Brass,Wellworth Highline Trip Lever - Vibrant Brushed Moderne Brass,PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K-9466-L-BV,Cimarron Left Hand Trip Lever - Vibrant Brushed Bronze,Cimarron Left Hand Trip Lever - Vibrant Brushed Bronze,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=1,SKIP_QTY_ON_HAND,BA0000749 Standard Plumbing Supply,BA0000749,Standard Plumbing Supply,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000749.,,FOUND,SKIP_QTY_ON_HAND
K-975-BN,Stillness Adjustable Wall Mount Holder - Vibrant Brushed Nickel,Stillness Adjustable Wall Mount Holder - Vibrant Brushed Nickel,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE PLUMBING=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
K-98354-2MB,Exhale Wall Mount Handshower Holder With Supply Elbow And Check Valve - Vibrant Brushed Moderne Brass,Exhale Wall Mount Handshower Holder With Supply Elbow And Check Valve - Vibrant Brushed Moderne Brass,PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
KHU101-13,"Kraus Standart Pro 13"" Undermount 16 Gauge Single Bowl Bar Prep Kitchen Sink - Stainless Steel","Kraus Standart Pro 13"" Undermount 16 Gauge Single Bowl Bar Prep Kitchen Sink - Stainless Steel",PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE APPLIANCES=0; SALT LAKE PLUMBING=2,SKIP_QTY_ON_HAND,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,SKIP_QTY_ON_HAND
KHU101-21,"Kraus Standart Pro 21"" 16 Gauge Undermount Single Bowl Kitchen Sink - Stainless Steel","Kraus Standart Pro 21"" 16 Gauge Undermount Single Bowl Kitchen Sink - Stainless Steel",PLUMBING,PLUMBING,PLUMB-LOT,BOISE WAREHOUSE=1,SKIP_QTY_ON_HAND,"BA0012625 Kraus USA Plumbing, LLC",BA0012625,"Kraus USA Plumbing, LLC",HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0012625.,,FOUND,SKIP_QTY_ON_HAND
KPF-2620SFS,Kraus Oletto Pull Down Single Handle Kitchen Faucet - Spot Free Stainless Steel,Kraus Oletto Pull Down Single Handle Kitchen Faucet - Spot Free Stainless Steel,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE APPLIANCES=0; SALT LAKE PLUMBING=2,SKIP_QTY_ON_HAND,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,SKIP_QTY_ON_HAND
KS313AB,Kingston Brass Two Handle 2 Hole Wall Mount Kitchen Faucet - Antique Brass,Kingston Brass Two Handle 2 Hole Wall Mount Kitchen Faucet - Antique Brass,PLUMBING,PLUMBING,PLUMB-LOT,SALT LAKE APPLIANCES=0; SALT LAKE PLUMBING=0,ELIGIBLE,BA0003290 Hajoca Corporation,BA0003290,Hajoca Corporation,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected default active VendorID BA0003290.,,FOUND,READY
KT02-30K.25-ANF,"Descanso StyleTherm 1/2"" Thermostatic Shower System with Showerhead and Handshower on Hook - Antique Nickel Flat","Descanso StyleTherm 1/2"" Thermostatic Shower System with Showerhead and Handshower on Hook - Antique Nickel Flat",PLUMBING,PLUMBING,PLUMB-LOT,(no WarehouseDetails rows),ELIGIBLE,,BA0000006,California Faucets,MEDIUM,brand-token DESCANSO suggests BA0000006 in 17/17 existing vendor-populated StockItems; manual review required.,,FOUND,VENDOR_REVIEW_REQUIRED
