Token,Regex,Source,Classification,CandidateVendorID,CandidateVendorName,MatchingReviewItems,EvidenceVendorCounts,ActiveVendorAliasCandidates,SampleInventoryIDs,Reason
JALAMA,\bJALAMA\b,description-token,BUSINESS_RULE_APPROVAL,BA0000006,California Faucets,4,BA0000006:California Faucets:47,,3902MH-BNU; TO-TH2L-39H-BBU; TO-TH2L-39H-GRP; TO-V3902H-9-GRP,"Existing vendor-populated StockItems consistently map JALAMA to BA0000006 in 47/47, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
JULIA,\bJULIA\b,description-token,BUSINESS_RULE_APPROVAL,BA0000008,"Waterworks Operating Co., LLC",4,"BA0000008:Waterworks Operating Co., LLC:23",,JUHS11-18N; JUKM09-18B; JUTH59-N; JUVC34-N,"Existing vendor-populated StockItems consistently map JULIA to BA0000008 in 23/23, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
STREET STYLETHERM,\bSTREET[\\s-]+STYLETHERM\b,description-token,BUSINESS_RULE_APPROVAL,BA0000006,California Faucets,4,BA0000006:California Faucets:4,,TO-TH2L-52K-CB; TO-TH2L-53K-ANF; TO-THC1L-52-ANF; TO-THC2L-52-ANF,"Existing vendor-populated StockItems consistently map STREET STYLETHERM to BA0000006 in 4/4, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
URBAN,\bURBAN\b,description-token,BUSINESS_RULE_APPROVAL,BA0000011,"Emtek Products Group, LLC",4,"BA0000011:Emtek Products Group, LLC:57",,N7637K-RH-URM; N7648K-URM; N7698K-6-URM; N7767K-URM,"Existing vendor-populated StockItems consistently map URBAN to BA0000011 in 57/57, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
XXL COMBI,\bXXL[\\s-]+COMBI\b,description-token,BUSINESS_RULE_APPROVAL,BA0000784,Miele,4,BA0000784:Miele:15,,DGC7880CTS; DGC7580; DGC7860AMGRG; DGC7880GRG,"Existing vendor-populated StockItems consistently map XXL COMBI to BA0000784 in 15/15, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
12005,^12005,inventory-prefix,NO_MATCH,,,4,,,1200-5103-10; 1200-5103-15; 1200-5503-15; 1200-5623-15,No active vendor alias or consistent existing StockItem vendor evidence matched 12005.
2540,^2540,inventory-prefix,NO_MATCH,,,4,BA0000743:Newport/Brasstech:2,,2540-1410-52; 2540-1410-56; 2540-1570-52; 2540-1570-56,No active vendor alias or consistent existing StockItem vendor evidence matched 2540.
25401,^25401,inventory-prefix,NO_MATCH,,,4,,,2540-1410-52; 2540-1410-56; 2540-1570-52; 2540-1570-56,No active vendor alias or consistent existing StockItem vendor evidence matched 25401.
32301,^32301,inventory-prefix,NO_MATCH,,,4,,,3230-1410-26; 3230-1510-26; 3230-1530-03N; 3230-1530-24A,No active vendor alias or consistent existing StockItem vendor evidence matched 32301.
53P6,^53P6,inventory-prefix,NO_MATCH,,,4,"BA0010852:Fantini USA, Inc:2",,53P6R043U; 53P6R107WU; 53P6R119BU; 53P6R891BU,No active vendor alias or consistent existing StockItem vendor evidence matched 53P6.
53P6R,^53P6R,inventory-prefix,NO_MATCH,,,4,"BA0010852:Fantini USA, Inc:2",,53P6R043U; 53P6R107WU; 53P6R119BU; 53P6R891BU,No active vendor alias or consistent existing StockItem vendor evidence matched 53P6R.
8695,^8695,inventory-prefix,NO_MATCH,,,4,"BA0010852:Fantini USA, Inc:1",,86958145; 86958146U; 86958147U; 86959236U,No active vendor alias or consistent existing StockItem vendor evidence matched 8695.
8901,^8901,inventory-prefix,NO_MATCH,,,4,,,890-1250-15S; 890-1410-15S; 890-1510-15S; 890-1660-15S,No active vendor alias or consistent existing StockItem vendor evidence matched 8901.
93P6,^93P6,inventory-prefix,NO_MATCH,,,4,,,93P6H806; 93P6H807; 93P6H808; 93P6H845,No active vendor alias or consistent existing StockItem vendor evidence matched 93P6.
93P6H,^93P6H,inventory-prefix,NO_MATCH,,,4,,,93P6H806; 93P6H807; 93P6H808; 93P6H845,No active vendor alias or consistent existing StockItem vendor evidence matched 93P6H.
ARCA,\bARCA\b,description-token,NO_MATCH,,,4,BA0000784:Miele:1,,AARD08BN; AAS01BK; TAA23BK; TAA51BN,No active vendor alias or consistent existing StockItem vendor evidence matched ARCA.
BOILING CHILLED,\bBOILING[\\s-]+CHILLED\b,description-token,NO_MATCH,,,4,,,01043466; 01046202; 01046205; 01048498,No active vendor alias or consistent existing StockItem vendor evidence matched BOILING CHILLED.
DGC,^DGC,inventory-prefix,NO_MATCH,,,4,BA0000784:Miele:2,,DGC7880CTS; DGC7580; DGC7860AMGRG; DGC7880GRG,No active vendor alias or consistent existing StockItem vendor evidence matched DGC.
DGC7,^DGC7,inventory-prefix,NO_MATCH,,,4,BA0000784:Miele:2,,DGC7880CTS; DGC7580; DGC7860AMGRG; DGC7880GRG,No active vendor alias or consistent existing StockItem vendor evidence matched DGC7.
FOR V135,\bFOR[\\s-]+V135\b,description-token,NO_MATCH,,,4,BA0013229:Earth Elements LLC:1,,T2002-TCBA-OBM; V702-TLK-BG; V702-TLK-CTB; V702-TLL-ANT,No active vendor alias or consistent existing StockItem vendor evidence matched FOR V135.
HAVENRIDGE,\bHAVENRIDGE\b,description-token,NO_MATCH,,,4,BA0000676:The Lovell Company:1,,016-HV0D; BPH-SP0D; BRH-SP0D; LG89-8HVD,No active vendor alias or consistent existing StockItem vendor evidence matched HAVENRIDGE.
K359,^K359,inventory-prefix,NO_MATCH,,,4,,,K-35908-4K-SN; K-35926-BN; K-35927-BN; K-35929-BN,No active vendor alias or consistent existing StockItem vendor evidence matched K359.
K511,^K511,inventory-prefix,NO_MATCH,,,4,,,K51-100SQ-ST-SBZ; K51-101SQ-ST-ANF; K51-103-ST-BNU; K51-103-ST-GRP,No active vendor alias or consistent existing StockItem vendor evidence matched K511.
K5110,^K5110,inventory-prefix,NO_MATCH,,,4,,,K51-100SQ-ST-SBZ; K51-101SQ-ST-ANF; K51-103-ST-BNU; K51-103-ST-GRP,No active vendor alias or consistent existing StockItem vendor evidence matched K5110.
KT14,^KT14,inventory-prefix,NO_MATCH,,,4,,,K-T14414-4-BN; K-T14428-4-BN; K-T14429-4-BN; K-T14501-4-BN,No active vendor alias or consistent existing StockItem vendor evidence matched KT14.
PFISTER HAVENRIDGE,\bPFISTER[\\s-]+HAVENRIDGE\b,description-token,NO_MATCH,,,4,BA0000676:The Lovell Company:1,,016-HV0D; BPH-SP0D; BRH-SP0D; LG89-8HVD,No active vendor alias or consistent existing StockItem vendor evidence matched PFISTER HAVENRIDGE.
TOV5,^TOV5,inventory-prefix,NO_MATCH,,,4,,,TO-V5201-7-SBZ; TO-V5202-9-ANF; TO-V5302-9-ANF; TO-V5302K-9-ANF,No active vendor alias or consistent existing StockItem vendor evidence matched TOV5.
V135,\bV135\b,description-token,NO_MATCH,,,4,BA0013229:Earth Elements LLC:2,,T2002-TCBA-OBM; V702-TLK-BG; V702-TLK-CTB; V702-TLL-ANT,No active vendor alias or consistent existing StockItem vendor evidence matched V135.
7023,^7023,inventory-prefix,AMBIGUOUS,BA0000002,Roth Living,3,BA0000002:Roth Living:9; BA0000748:Santec:2; BA0000678:Nostalgic Warehouse:1; BA0021815:Roth - ***Premium Platinum 2026***:1,,702305-B; 702305-BB; 702305-N,Token 7023 has multiple plausible vendors from existing StockItem evidence.
ACRYLIC,\bACRYLIC\b,description-token,AMBIGUOUS,BA0000686,Schaub & Company,3,"BA0000686:Schaub & Company:20; BA0000708:Barclay Products:19; BA0011479:WESTBRASS:9; BA0000717:Duravit:7; BA0000012:Alno, Inc.:7; BA0000799:Viking Range-M, LLC:3",,S209A1; SYD6636ATO-WHI-RH; TUBINSULATION,Token ACRYLIC has multiple plausible vendors from existing StockItem evidence.
ADJUSTABLE,\bADJUSTABLE\b,description-token,AMBIGUOUS,BA0000008,"Waterworks Operating Co., LLC",3,"BA0000008:Waterworks Operating Co., LLC:23; BA0000686:Schaub & Company:14; BA0001129:GESSI North America:4; BA0000654:The Delaney Hardware Co.:2; BA0000708:Barclay Products:2; BA0000714:Delta Faucet Company:2",,86958147U; K-975-BN; V779-BH-ABM,Token ADJUSTABLE has multiple plausible vendors from existing StockItem evidence.
ARTIFACTS,\bARTIFACTS\b,description-token,AMBIGUOUS,BA0000749,Standard Plumbing Supply,3,BA0000749:Standard Plumbing Supply:59; BA0011918:Keller Supply Company:7; BA0000750:The Stock Market:7; BA0003290:Hajoca Corporation:1,,K-20027-0; K-21000-W-0; K-7159-BV,Token ARTIFACTS has multiple plausible vendors from existing StockItem evidence.
ANELLO,\bANELLO\b,description-token,BUSINESS_RULE_APPROVAL,BA0001129,GESSI North America,3,BA0001129:GESSI North America:51,,63331#149; 63335#149; 63361#707,"Existing vendor-populated StockItems consistently map ANELLO to BA0001129 in 51/51, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
2271,^2271,inventory-prefix,NO_MATCH,,,3,,,22-7.1.3GA-TICV-AB; 22-7.1.3G-TICV-AB; 22-7.1.3PG2-TICV-AB,No active vendor alias or consistent existing StockItem vendor evidence matched 2271.
22713,^22713,inventory-prefix,NO_MATCH,,,3,,,22-7.1.3GA-TICV-AB; 22-7.1.3G-TICV-AB; 22-7.1.3PG2-TICV-AB,No active vendor alias or consistent existing StockItem vendor evidence matched 22713.
3717,^3717,inventory-prefix,NO_MATCH,,,3,BA0000649:Classic Brass:2,,371-74/047; 371-75/047; 371-76/047,No active vendor alias or consistent existing StockItem vendor evidence matched 3717.
5395,^5395,inventory-prefix,NO_MATCH,,,3,,,5395R080BU; 5395R107WU; 5395R891BU,No active vendor alias or consistent existing StockItem vendor evidence matched 5395.
5395R,^5395R,inventory-prefix,NO_MATCH,,,3,,,5395R080BU; 5395R107WU; 5395R891BU,No active vendor alias or consistent existing StockItem vendor evidence matched 5395R.
70230,^70230,inventory-prefix,NO_MATCH,,,3,,,702305-B; 702305-BB; 702305-N,No active vendor alias or consistent existing StockItem vendor evidence matched 70230.
86958,^86958,inventory-prefix,NO_MATCH,,,3,"BA0010852:Fantini USA, Inc:1",,86958145; 86958146U; 86958147U,No active vendor alias or consistent existing StockItem vendor evidence matched 86958.
